Platform / area,Title,URL,ID
AI/ML,An introduction to AI,https://nes-dew.github.io/KIND-training/skills/an_introduction_to_ai_and_why_you_might_avoid_that_term.html,KA01
AI/ML,An introduction to Co-Pilot,,KA02
AI/ML,Neural nets made ridiculously simple,https://nes-dew.github.io/KIND-training/skills/neural_nets.html,KA03
AI/ML,Applications of AI,https://nes-dew.github.io/KIND-training/skills/ai_applications.html,KA04
Excel,Excel errors,,KE19
Excel,Excel first steps (Excel for beginners session 1),https://nes-dew.github.io/KIND-training/excel/excel_first_steps.html,KE01
Excel,Excel formatting (Excel for beginners session 4),https://nes-dew.github.io/KIND-training/excel/excel_formatting.html,KE04
Excel,Excel formulas (Excel for beginners session 6),https://nes-dew.github.io/KIND-training/excel/excel_formulas.html,KE06
Excel,Excel foundations 1 (intermediate Excel session 1),https://nes-dew.github.io/KIND-training/excel/excel_foundations_01.html,KE11
Excel,Excel foundations 2 (intermediate Excel session 2),https://nes-dew.github.io/KIND-training/excel/excel_foundations_02.html,KE12
Excel,Excel practical review (Excel for beginners session 7),,KE07
Excel,Excel programming (intermediate Excel session 5),https://nes-dew.github.io/KIND-training/excel/excel_programming.html,KE15
Excel,Excel tables (Excel for beginners session 5),https://nes-dew.github.io/KIND-training/excel/excel_tables.html,KE05
Excel,Lambda formulas in Excel,https://nes-dew.github.io/KIND-training/excel/lambda_formulas_in_excel.html,KE16
Excel,Logic in Excel,https://nes-dew.github.io/KIND-training/excel/excel_logic.html,KE20
Excel,Lookups in Excel (intermediate Excel session 3),https://nes-dew.github.io/KIND-training/excel/lookups_in_excel.html,KE13
Excel,Pivot tables and pivot charts (intermediate Excel session 4),https://nes-dew.github.io/KIND-training/excel/pivot_tables_and_pivot_charts.html,KE14
Excel,Practical Power Pivot,https://nes-dew.github.io/KIND-training/excel/practical_power_pivot.html,KE17
Excel,References and names in Excel (Excel for beginners session 3),https://nes-dew.github.io/KIND-training/excel/references_and_names_in_excel.html,KE03
Excel,"Relative, absolute, mixed, structured, and R1C1 references in Excel",https://nes-dew.github.io/KIND-training/excel/relative_absolute_mixed_structured_and_r_1_c_1_references_in_excel.html,KE18
Excel,Scope of the possible with Excel,https://nes-dew.github.io/KIND-training/excel/scope_of_the_possible_with_excel.html,KE08
Excel,Tidy data in Excel (Excel for beginners session 2),https://nes-dew.github.io/KIND-training/excel/tidy_data_in_excel.html,KE02
Excel,Why bother with...Excel?,https://nes-dew.github.io/KIND-training/excel/why_bother_with_excel.html,KE09
Power BI,BI for beginners (session 1),https://nes-dew.github.io/KIND-training/bi_training/BI_for_beginners_session_01.html,KP01
Power BI,BI for beginners (session 2),https://nes-dew.github.io/KIND-training/bi_training/BI_for_beginners_session_02.html,KP02
Power BI,BI for beginners (session 3),https://nes-dew.github.io/KIND-training/bi_training/BI_for_beginners_session_03.html,KP03
Power BI,BI for beginners (session 4),https://nes-dew.github.io/KIND-training/bi_training/BI_for_beginners_session_04.html,KP04
Power BI,BI for beginners (session 5),https://nes-dew.github.io/KIND-training/bi_training/BI_for_beginners_session_05.html,KP05
Power BI,"BI for beginners (service version, session 1)",https://nes-dew.github.io/KIND-training/bi_training/BI_for_beginners_service_session_01.html,KP06
Power BI,"BI for beginners (service version, session 2)",https://nes-dew.github.io/KIND-training/bi_training/BI_for_beginners_service_session_02.html,KP07
Power BI,"BI for beginners (service version, session 3)",https://nes-dew.github.io/KIND-training/bi_training/BI_for_beginners_service_session_03.html,KP08
Power BI,"BI for beginners (service version, session 4)",https://nes-dew.github.io/KIND-training/bi_training/BI_for_beginners_service_session_04.html,KP09
Power BI,DAX vs Power Query M,https://nes-dew.github.io/KIND-training/bi_training/dax_vs_power_query_m.html,KP10
Power Platform,Introduction to Power Automate,,KP11
Power Platform,Power BI errors,,KP12
Power Platform,PowerQuery - a practical introduction,https://nes-dew.github.io/KIND-training/bi_training/power_query_a_practical_introduction.html,KP13
Power Platform,Scope of the possible with Power Automate,https://nes-dew.github.io/KIND-training/bi_training/power_automate_for_health_care.html,KP14
Power BI,Scope of the possible with Power BI,https://nes-dew.github.io/KIND-training/bi_training/scope_of_the_possible_with_power_bi.html,KP15
Power Platform,Scope of the possible with PowerQuery,https://nes-dew.github.io/KIND-training/bi_training/scope_of_the_possible_with_power_query.html,KP16
Power Platform,Troubleshooting Power Query,,KP17
Power BI,Why bother with...Power BI?,https://nes-dew.github.io/KIND-training/bi_training/why_bother_with_power_bi.html,KP18
Power BI,BI for beginners (tech check),,KP19
Power Platform,An introduction to PQM,,KP20
Power Platform,Approvals in Teams and Power Automate,https://nes-dew.github.io/KIND-training/bi_training/approvals.html,KP21
Power Platform,Conditions in Power Automate,https://nes-dew.github.io/KIND-training/bi_training/power_automate_conditions.html,KP22
Power Platform,Groups and summaries in PowerQuery, https://nes-dew.github.io/KIND-training/bi_training/group_summarise_power_query.html,KP23
Power BI,Intermediate Power BI (session 1),https://nes-dew.github.io/KIND-training/bi_training/BI_intermediate_session_01.html,KP24
Power BI,Intermediate Power BI (session 2),https://nes-dew.github.io/KIND-training/bi_training/BI_intermediate_session_02.html,KP25
Power BI,Intermediate Power BI (session 3),https://nes-dew.github.io/KIND-training/bi_training/BI_intermediate_session_03.html,KP26
Power BI,Intermediate Power BI (session 4),https://nes-dew.github.io/KIND-training/bi_training/BI_intermediate_session_04.html,KP27
Power BI,Intermediate Power BI (session 5),,KP28
Power Platform,Mailing lists in Power Automate,https://nes-dew.github.io/KIND-training/bi_training/power_automate_mailing_list.html,KP29
Power BI,Measures in Power BI,https://nes-dew.github.io/KIND-training/bi_training/measures_in_power_bi.html,KP30
Power BI / R,R in Power BI,,KP31
R,R from scratch (session 1),https://nes-dew.github.io/KIND-training/r_training/r_from_scratch.html,KR01
R,R from scratch (session 2),https://nes-dew.github.io/KIND-training/r_training/r_from_scratch.html,KR02
R,R from scratch (session 3),https://nes-dew.github.io/KIND-training/r_training/r_from_scratch.html,KR03
R,R from scratch (session 4),https://nes-dew.github.io/KIND-training/r_training/r_from_scratch.html,KR04
R,R from scratch (session 5),https://nes-dew.github.io/KIND-training/r_training/r_from_scratch.html,KR05
R,R from scratch (session 6),https://nes-dew.github.io/KIND-training/r_training/r_from_scratch.html,KR06
R,An introduction to R and Rmarkdown (session 1),,KR07
R,An introduction to R and Rmarkdown (session 2),,KR08
R,An introduction to R and Rmarkdown (session 3),,KR09
R,An introduction to R and Rmarkdown (session 4),,KR10
Shiny,Introductory Shiny (session 1),,KR11
Shiny,Introductory Shiny (session 2),,KR12
Shiny,Introductory Shiny (session 3),,KR13
Shiny,Introductory Shiny (session 4),,KR14
Shiny,Introductory Shiny (session 5),,KR15
Python,A data-centric introduction to Python,,KR16
R,A first plot with Plotly,https://nes-dew.github.io/KIND-training/r_training/first_plotly.html,KR17
R,Dates and times with lubridate.,https://nes-dew.github.io/KIND-training/r_training/dates_and_times_with_lubridate.html,KR18
R,Debugging R,https://nes-dew.github.io/KIND-training/r_training/debugging_r.html,KR19
R,dplyr from scratch,,KR20
R,ggplot from scratch,,KR21
R,Intro to predictive models in R,,KR22
R,R projects,,KR23
R,Reproducible examples (reprex) in R,,KR24
R,Scope of the possible with R,https://nes-dew.github.io/KIND-training/r_training/scope_of_the_possible_with_r.html,KR25
Shiny,Shiny inputs,,KR26
Shiny,Understanding reactivity,,KR27
R,What's the tidyverse?,,KR28
R,Why bother with...R?,,KR29
R,An introduction to data.table,https://nes-dew.github.io/KIND-training/r_training/intro_data_table.html,KR30
R,Build a package in R,,KR31
R,Data masking in R,https://nes-dew.github.io/KIND-training/r_training/data_masking.html,KR32
R,Exploring data with dplyr,https://nes-dew.github.io/KIND-training/r_training/exploring_data_with_dplyr.html,KR33
R,Flexdashboard,,KR34
R,Free text wrangling,,KR35
R,Getting the best out of openxlsx,,KR36
R,Hacker Stats (AKA Resampling Methods),,KR37
Shiny,Intermediate Shiny (session 1),,KR38
Shiny,Intermediate Shiny (session 2),,KR39
R,Iteration in R,https://nes-dew.github.io/KIND-training/r_training/iteration_in_r.html,KR40
R,Joining data with dplyr,https://nes-dew.github.io/KIND-training/r_training/dplyr_joins.html,KR41
R,Parameterised Rmarkdown and Quarto,https://nes-dew.github.io/KIND-training/r_training/parameterised_rmarkdown.html,KR42
R,Plumber / R APIs,,KR43
R,Practical Shiny debugging,,KR44
R,Quarto,,KR45
R,R and dbplyr and dtplyr,,KR46
R,R project templates,,KR47
R,Rmarkdown crash course,,KR48
R / AI / ML,sequential networks in keras,,KR49
Shiny,Shiny from scratch,,KR50
Shiny,Shiny modules,,KR51
R,Styling Shiny with bslib,,KR52
R,Styling Word docs with Rmarkdown,,KR53
R,Summarising data with dplyr,https://nes-dew.github.io/KIND-training/r_training/dplyr_group_summarise.html,KR54
R,Testing R code,https://nes-dew.github.io/KIND-training/r_training/testing_r_code.qmd,KR55
R,The purrrr package in R,https://nes-dew.github.io/KIND-training/r_training/purrr_package.html,KR56
R,The scales package,,KR57
R,Tidyselect,https://nes-dew.github.io/KIND-training/r_training/tidyselect.html,KR58
