course_title,session_title,ID
BI for Beginners,BI for beginners (session 1),KP01
BI for Beginners,BI for beginners (session 2),KP02
BI for Beginners,BI for beginners (session 3),KP03
BI for Beginners,BI for beginners (session 4),KP04
BI for Beginners,BI for beginners (session 5),KP05
BI for Beginners,BI for beginners (tech check),KP19
Excel for Beginners,Excel first steps (Excel for beginners session 1),KE01
Excel for Beginners,Tidy data in Excel (Excel for beginners session 2),KE02
Excel for Beginners,References and names in Excel (Excel for beginners session 3),KE03
Excel for Beginners,Excel formatting (Excel for beginners session 4),KE04
Excel for Beginners,Excel tables (Excel for beginners session 5),KE05
Excel for Beginners,Excel formulas (Excel for beginners session 6),KE06
Excel for Beginners,Excel practical review (Excel for beginners session 7),KE07
Intermediate Excel,Excel foundations 1 (intermediate Excel session 1),KE11
Intermediate Excel,Excel foundations 2 (intermediate Excel session 2),KE12
Intermediate Excel,Lookups in Excel (intermediate Excel session 3),KE13
Intermediate Excel,Pivot tables and pivot charts (intermediate Excel session 4),KE14
Intermediate Excel,Excel programming (intermediate Excel session 5),KE15
BI for beginners (service version),"BI for beginners (service version, session 1)",KP06
BI for beginners (service version),"BI for beginners (service version, session 2)",KP07
BI for beginners (service version),"BI for beginners (service version, session 3)",KP08
BI for beginners (service version),"BI for beginners (service version, session 4)",KP09
Intermediate Power BI,Intermediate Power BI (session 1),KP24
Intermediate Power BI,Intermediate Power BI (session 2),KP25
Intermediate Power BI,Intermediate Power BI (session 3),KP26
Intermediate Power BI,Intermediate Power BI (session 4),KP27
Intermediate Power BI,Intermediate Power BI (session 5),KP28
R from Scratch,R from scratch (session 1),KR01
R from Scratch,R from scratch (session 2),KR02
R from Scratch,R from scratch (session 3),KR03
R from Scratch,R from scratch (session 4),KR04
R from Scratch,R from scratch (session 5),KR05
R from Scratch,R from scratch (session 6),KR06
An introduction to R and Rmarkdown,An introduction to R and Rmarkdown (session 1),KR07
An introduction to R and Rmarkdown,An introduction to R and Rmarkdown (session 2),KR08
An introduction to R and Rmarkdown,An introduction to R and Rmarkdown (session 3),KR09
An introduction to R and Rmarkdown,An introduction to R and Rmarkdown (session 4),KR10
Introductory Shiny,Introductory Shiny (session 1),KR11
Introductory Shiny,Introductory Shiny (session 2),KR12
Introductory Shiny,Introductory Shiny (session 3),KR13
Introductory Shiny,Introductory Shiny (session 4),KR14
Introductory Shiny,Introductory Shiny (session 5),KR15
Tableau for Beginners,Tableau for beginners (session 1),KT01
Tableau for Beginners,Tableau for beginners (session 2),KT02
Tableau for Beginners,Tableau for beginners (session 3),KT03
Tableau for Beginners,Tableau for beginners (session 4),KT04
Introductory SQL,An introduction to SQL,KS14
Introductory SQL,Getting data into SQL,KS15
Introductory SQL,Filtering and aggregating data with SQL,KS16
Introductory SQL,SQL joins,KS17
Introductory SQL,R and SQL,KS18
Presenting like a Person,Presenting like a Person (session 1),KS19
Presenting like a Person,Presenting like a Person (session 2),KS20
Presenting like a Person,Presenting like a Person (session 3),KS21
Presenting like a Person,Presenting like a Person (session 4),KS22
Presenting like a Person,Presenting like a Person (session 4),KS23
An introduction to EBM,An introduction to EBM (session 1),KS24
An introduction to EBM,An introduction to EBM (session 2),KS25
An introduction to EBM,An introduction to EBM (session 3),KS26
An introduction to EBM,An introduction to EBM (session 4),KS27
An introduction to EBM,An introduction to EBM (session 5),KS28
