PracticeCode,Sex,Attribute,Value
10002,Male,Ages 0 to 4,189
10002,Male,Ages 5 to 14,467
10002,Male,Ages 15 to 24,418
10002,Male,Ages 25 to 44,968
10002,Male,Ages 45 to 64,1180
10002,Male,Ages 65 to 74,490
10002,Male,Ages 75 to 84,304
10002,Male,Ages 85 plus,98
10002,Female,Ages 0 to 4,174
10002,Female,Ages 5 to 14,418
10002,Female,Ages 15 to 24,439
10002,Female,Ages 25 to 44,976
10002,Female,Ages 45 to 64,1269
10002,Female,Ages 65 to 74,528
10002,Female,Ages 75 to 84,336
10002,Female,Ages 85 plus,98
10017,Male,Ages 0 to 4,123
10017,Male,Ages 5 to 14,357
10017,Male,Ages 15 to 24,490
10017,Male,Ages 25 to 44,732
10017,Male,Ages 45 to 64,956
10017,Male,Ages 65 to 74,415
10017,Male,Ages 75 to 84,288
10017,Male,Ages 85 plus,107
10017,Female,Ages 0 to 4,106
10017,Female,Ages 5 to 14,317
10017,Female,Ages 15 to 24,415
10017,Female,Ages 25 to 44,714
10017,Female,Ages 45 to 64,928
10017,Female,Ages 65 to 74,439
10017,Female,Ages 75 to 84,330
10017,Female,Ages 85 plus,160
10036,Male,Ages 0 to 4,90
10036,Male,Ages 5 to 14,219
10036,Male,Ages 15 to 24,252
10036,Male,Ages 25 to 44,511
10036,Male,Ages 45 to 64,733
10036,Male,Ages 65 to 74,339
10036,Male,Ages 75 to 84,220
10036,Male,Ages 85 plus,64
10036,Female,Ages 0 to 4,62
10036,Female,Ages 5 to 14,209
10036,Female,Ages 15 to 24,193
10036,Female,Ages 25 to 44,480
10036,Female,Ages 45 to 64,754
10036,Female,Ages 65 to 74,345
10036,Female,Ages 75 to 84,259
10036,Female,Ages 85 plus,102
10106,Male,Ages 0 to 4,95
10106,Male,Ages 5 to 14,312
10106,Male,Ages 15 to 24,342
10106,Male,Ages 25 to 44,591
10106,Male,Ages 45 to 64,858
10106,Male,Ages 65 to 74,400
10106,Male,Ages 75 to 84,343
10106,Male,Ages 85 plus,118
10106,Female,Ages 0 to 4,70
10106,Female,Ages 5 to 14,290
10106,Female,Ages 15 to 24,291
10106,Female,Ages 25 to 44,633
10106,Female,Ages 45 to 64,905
10106,Female,Ages 65 to 74,462
10106,Female,Ages 75 to 84,426
10106,Female,Ages 85 plus,225
10125,Male,Ages 0 to 4,88
10125,Male,Ages 5 to 14,194
10125,Male,Ages 15 to 24,188
10125,Male,Ages 25 to 44,460
10125,Male,Ages 45 to 64,647
10125,Male,Ages 65 to 74,358
10125,Male,Ages 75 to 84,218
10125,Male,Ages 85 plus,52
10125,Female,Ages 0 to 4,52
10125,Female,Ages 5 to 14,197
10125,Female,Ages 15 to 24,169
10125,Female,Ages 25 to 44,477
10125,Female,Ages 45 to 64,694
10125,Female,Ages 65 to 74,366
10125,Female,Ages 75 to 84,255
10125,Female,Ages 85 plus,94
10182,Male,Ages 0 to 4,216
10182,Male,Ages 5 to 14,469
10182,Male,Ages 15 to 24,581
10182,Male,Ages 25 to 44,1248
10182,Male,Ages 45 to 64,1364
10182,Male,Ages 65 to 74,541
10182,Male,Ages 75 to 84,380
10182,Male,Ages 85 plus,104
10182,Female,Ages 0 to 4,181
10182,Female,Ages 5 to 14,475
10182,Female,Ages 15 to 24,504
10182,Female,Ages 25 to 44,1208
10182,Female,Ages 45 to 64,1401
10182,Female,Ages 65 to 74,616
10182,Female,Ages 75 to 84,491
10182,Female,Ages 85 plus,189
10233,Male,Ages 0 to 4,154
10233,Male,Ages 5 to 14,382
10233,Male,Ages 15 to 24,372
10233,Male,Ages 25 to 44,897
10233,Male,Ages 45 to 64,955
10233,Male,Ages 65 to 74,357
10233,Male,Ages 75 to 84,229
10233,Male,Ages 85 plus,59
10233,Female,Ages 0 to 4,151
10233,Female,Ages 5 to 14,390
10233,Female,Ages 15 to 24,385
10233,Female,Ages 25 to 44,916
10233,Female,Ages 45 to 64,911
10233,Female,Ages 65 to 74,369
