Postcode,Latitude,Longitude
AB10 1YE,57.14257446,-2.11451642
AB11 7XH,57.13602301,-2.10757371
AB11 8ER,57.13464551,-2.08862045
AB12 4QP,57.060575300000004,-2.12554087
AB12 5NA,57.12083562,-2.10411105
AB14 0RP,57.09894533,-2.25827085
AB15 4ZT,57.14255832,-2.13097452
AB15 7YT,57.13584518,-2.14180522
AB15 8TB,57.15839606,-2.22527567
AB15 9LQ,57.11527683,-2.18137204
AB21 7NQ,57.206722,-2.17635846
AB21 9AN,57.1783018,-2.17501542
AB21 9DG,57.17665653,-2.182285
AB22 8LD,57.18014268,-2.10262411
AB22 8ZP,57.18258917,-2.13692269
AB24 2AS,57.16936365,-2.12204073
AB24 3NG,57.1607938,-2.10205787
AB24 5HT,57.14963477,-2.09330059
AB25 1QB,57.14866239,-2.10726342
AB25 2XE,57.15372732,-2.14448539
AB25 3TX,57.1574382,-2.10795012
AB30 1GX,56.83178961,-2.47554124
AB30 1XU,56.90030795,-2.44858469
AB31 4JQ,57.10734099,-2.62051498
AB31 5XS,57.05079624,-2.50098697
AB32 6FG,57.14791883,-2.2761802
AB33 8FL,57.2370243,-2.70363852
AB34 5HQ,57.0770248,-2.76762752
AB35 5NN,57.051379849999996,-3.0398681
AB35 5WR,57.00770573,-3.40216701
AB37 9AN,57.35400619,-3.35537972
AB36 8XB,57.19356027,-3.03598468
AB38 9PR,57.46936912,-3.22419567
AB41 7NX,57.33662874,-2.17860942
AB41 9AH,57.36652195,-2.07175775
AB42 0QQ,57.42532694,-1.92027873
AB42 2XA,57.50258743,-1.794294
AB42 5GP,57.52377322,-2.00989067
AB43 6NE,57.59193781,-2.19834483
AB43 8QJ,57.60155884,-1.91348651
AB43 9NH,57.68681064,-2.01993194
AB45 1JD,57.66925327,-2.52603534
AB51 0JZ,57.33522163,-2.33188612
AB51 3UL,57.27726665,-2.37871325
AB51 5NB,57.23429834,-2.4453126
AB52 6JJ,57.34089729,-2.61230564
AB53 4DQ,57.53656416,-2.45168347
AB55 4FJ,57.44551674,-3.12405932
AB55 5DJ,57.54181524,-2.95403615
AB56 1FP,57.66793018,-2.98281012
DD1 1PF,56.4591741,-2.97754025
DD1 1PB,56.45766548,-2.97630072
DD1 5LA,56.45720945,-2.990763
DD1 5LA,56.45730761,-2.99084668
DD10 0RU,56.84547502,-2.28204498
DD10 8TY,56.71009638,-2.45642827
DD11 1ES,56.56066236,-2.57855522
DD11 1EN,56.56077979,-2.58034673
DD2 2HZ,56.46864437,-3.00669165
DD2 3BR,56.47068386,-3.00890453
DD2 4AD,56.46621328,-3.04536917
