_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
1,2020Q4,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",6,"",6,"",0.06521739130434782,"",0.06521739130434782,"",100,""
2,2020Q4,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",36,"",36,"",0.391304347826087,"",0.391304347826087,"",100,""
3,2020Q4,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",42,"",42,"",0.4565217391304347,"",0.4565217391304347,"",100,""
4,2021Q1,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",6,"",6,"",0.06666666666666667,"",0.06666666666666667,"",100,""
5,2021Q1,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",34,"",34,"",0.37777777777777777,"",0.37777777777777777,"",100,""
6,2021Q1,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",40,"",40,"",0.4444444444444444,"",0.4444444444444444,"",100,""
7,2021Q2,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",15,"",15,"",0.16483516483516483,"",0.16483516483516483,"",100,""
8,2021Q2,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",27,"",27,"",0.2967032967032967,"",0.2967032967032967,"",100,""
9,2021Q2,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",42,"",42,"",0.4615384615384616,"",0.4615384615384616,"",100,""
10,2021Q3,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",18,"",18,"",0.1956521739130435,"",0.1956521739130435,"",100,""
11,2021Q3,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",44,"",44,"",0.4782608695652174,"",0.4782608695652174,"",100,""
12,2021Q3,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",62,"",62,"",0.6739130434782609,"",0.6739130434782609,"",100,""
13,2021Q4,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",28,"",28,"",0.30434782608695654,"",0.30434782608695654,"",100,""
14,2021Q4,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",28,"",28,"",0.30434782608695654,"",0.30434782608695654,"",100,""
15,2022Q1,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",18,"",18,"",0.2,"",0.2,"",100,""
16,2022Q1,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",18,"",18,"",0.2,"",0.2,"",100,""
17,2022Q2,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",1,"",1,"",0.01098901098901099,"",0.01098901098901099,"",100,""
18,2022Q2,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",33,"",33,"",0.3626373626373626,"",0.3626373626373626,"",100,""
19,2022Q2,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",34,"",34,"",0.3736263736263736,"",0.3736263736263736,"",100,""
20,2022Q3,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",1,"",1,"",0.0108695652173913,"",0.0108695652173913,"",100,""
21,2022Q3,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",22,"",22,"",0.2391304347826087,"",0.2391304347826087,"",100,""
22,2022Q3,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",23,"",23,"",0.25,"",0.25,"",100,""
23,2022Q4,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",1,"",1,"",0.0108695652173913,"",0.0108695652173913,"",100,""
24,2022Q4,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",13,"",13,"",0.14130434782608697,"",0.14130434782608697,"",100,""
25,2022Q4,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",14,"",14,"",0.15217391304347827,"",0.15217391304347827,"",100,""
26,2023Q1,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",20,"",20,"",0.2222222222222222,"",0.2222222222222222,"",100,""
27,2023Q1,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",20,"",20,"",0.2222222222222222,"",0.2222222222222222,"",100,""
28,2023Q2,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",4,"",4,"",0.04395604395604396,"",0.04395604395604396,"",100,""
29,2023Q2,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",10,"",10,"",0.10989010989010987,"",0.10989010989010987,"",100,""
30,2023Q2,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",14,"",14,"",0.15384615384615383,"",0.15384615384615383,"",100,""
31,2023Q3,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",14,"",14,"",0.15217391304347827,"",0.15217391304347827,"",100,""
32,2023Q3,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",14,"",14,"",0.15217391304347827,"",0.15217391304347827,"",100,""
33,2023Q3,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",28,"",28,"",0.30434782608695654,"",0.30434782608695654,"",100,""
34,2023Q4,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",1,"",1,"",0.0108695652173913,"",0.0108695652173913,"",100,""
35,2023Q4,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",90,"",90,"",0.9782608695652174,"",0.9782608695652174,"",100,""
36,2023Q4,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",91,"",91,"",0.9891304347826086,"",0.9891304347826086,"",100,""
37,2024Q1,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",1,"",1,"",0.01098901098901099,"",0.01098901098901099,"",100,""
38,2024Q1,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",1,"",1,"",0.01098901098901099,"",0.01098901098901099,"",100,""
39,2024Q1,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",2,"",2,"",0.02197802197802198,"",0.02197802197802198,"",100,""
40,2024Q2,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",158,"",158,"",1.7362637362637363,"",1.7362637362637363,"",100,""
41,2024Q2,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",4,"",4,"",0.04395604395604396,"",0.04395604395604396,"",100,""
