date, value
01/02/2025,53
02/02/2025,90
03/02/2025,177
04/02/2025,121
05/02/2025,91
06/02/2025,111
07/02/2025,141
08/02/2025,57
09/02/2025,143
10/02/2025,93
11/02/2025,63
12/02/2025,140
13/02/2025,154
14/02/2025,187
15/02/2025,84
16/02/2025,68
17/02/2025,109
18/02/2025,132
19/02/2025,111
20/02/2025,51
21/02/2025,189
22/02/2025,144
23/02/2025,118
24/02/2025,60
25/02/2025,95
26/02/2025,85
27/02/2025,40
28/02/2025,141
01/03/2025,117
02/03/2025,70
03/03/2025,48
04/03/2025,175
05/03/2025,29
06/03/2025,169
07/03/2025,23
08/03/2025,46
09/03/2025,84
10/03/2025,61
11/03/2025,171
12/03/2025,184
13/03/2025,161
14/03/2025,86
15/03/2025,158
16/03/2025,49
17/03/2025,172
18/03/2025,73
19/03/2025,42
20/03/2025,66
21/03/2025,41
22/03/2025,50
23/03/2025,137
24/03/2025,131
25/03/2025,43
26/03/2025,99
27/03/2025,161
28/03/2025,60
29/03/2025,31
30/03/2025,101
31/03/2025,134
01/04/2025,184
02/04/2025,81
03/04/2025,55
04/04/2025,123
05/04/2025,41
06/04/2025,114
07/04/2025,150
08/04/2025,21
09/04/2025,65
10/04/2025,101
11/04/2025,100
12/04/2025,136
13/04/2025,129
14/04/2025,166
15/04/2025,106
16/04/2025,138
17/04/2025,124
18/04/2025,141
19/04/2025,121
20/04/2025,99
21/04/2025,85
22/04/2025,43
23/04/2025,132
24/04/2025,63
25/04/2025,43
26/04/2025,97
27/04/2025,33
28/04/2025,179
29/04/2025,24
30/04/2025,54
01/05/2025,74
02/05/2025,154
03/05/2025,149
04/05/2025,85
05/05/2025,184
06/05/2025,24
07/05/2025,106
08/05/2025,178
09/05/2025,147
10/05/2025,167
11/05/2025,191
